time,model,forecast,upper80,upper95,lower80,lower95
2018-01-06,LMx2.10,17510.1746579201,17802.9253704013,17965.1663686762,17217.4239454388,17055.1829471639
2018-02-06,ETS.25,14874.5439007271,14983.4440508078,15041.0923079919,14765.6437506464,14707.9954934623
2018-03-06,MEANF,16694.6941517441,17744.7102048507,18326.6239129909,15644.6780986375,15062.7643904973
2018-04-06,RWF,15447,16887.545367577,17650.1240212695,14006.454632423,13243.8759787305
2018-05-06,SNAIVE,16686,17630.6939607129,18130.7847353087,15741.3060392871,15241.2152646913
2018-06-06,NAIVE,15303.5217391304,16599.7754658212,17285.9707388006,14007.2680124397,13321.0727394602
2018-07-06,STL.25,17327.8921989566,17352.5254714517,17365.5655382195,17303.2589264616,17290.2188596938
2018-08-06,TBATS.10,17433.3528117161,17437.2457583651,17439.3065598375,17429.459865067,17427.3990635947
2018-09-06,STL.10,15149.3845544314,15153.4477987573,15155.5987503743,15145.3213101055,15143.1703584886
2018-10-06,ETS.10,17438.7100535028,17443.1852336375,17445.5542508993,17434.2348733681,17431.8658561063
2018-11-06,MEANF.25,16565.5862256285,16963.2997131703,17183.7105627264,16167.8727380867,15947.4618885305
2018-12-06,RWF.25,15841.0824381889,16026.1576964475,16124.1306200716,15656.0071799303,15558.0342563062
2019-01-06,MEANF.10,17317.6687404538,17448.9216913192,17521.6614281226,17186.4157895885,17113.676052785
2019-02-06,STLF,14854.2864375498,15282.5963232909,15509.3298808608,14425.9765518088,14199.2429942389
2019-03-06,SNAIVE.10,15762.7947589709,16113.0767137523,16298.5047797488,15412.5128041894,15227.0847381929
2019-04-06,STL,15959.2717993688,16458.3644739043,16722.5681764612,15460.1791248333,15195.9754222763
2019-05-06,LMx2.10,17347.1678806655,17528.9870807815,17629.7503830544,17165.3486805495,17064.5853782765
2019-06-06,STLF.10,15102.2977373363,15110.0312234533,15114.1250837121,15094.5642512194,15090.4703909605
